Manufacturer Hybrid SuggestedRetailPrice DealerCost EngineSize Cylinders Horsepower CityMPG HighwayMPG Weight WheelBase Length Width
"Chevrolet" 0 11690 10965 1.6 4 103 28 34 2370 98 167 66
"Chevrolet" 0 12585 11802 1.6 4 103 28 34 2348 98 153 66
"Chevrolet" 0 14610 13697 2.2 4 140 26 37 2617 104 183 69
"Chevrolet" 0 14810 13884 2.2 4 140 26 37 2676 104 183 68
"Chevrolet" 0 16385 15357 2.2 4 140 26 37 2617 104 183 69
"Dodge" 0 13670 12849 2 4 132 29 36 2581 105 174 67
"Dodge" 0 15040 14086 2 4 132 29 36 2626 105 174 67
"Ford" 0 13270 12482 2 4 130 26 33 2612 103 168 67
"Ford" 0 13730 12906 2 4 110 27 36 2606 103 168 67
"Ford" 0 15460 14496 2 4 130 26 33 2606 103 168 67
"Ford" 0 15580 14607 2 4 130 26 33 2691 103 168 67
"Honda" 0 13270 12175 1.7 4 115 32 38 2432 103 175 67
"Honda" 0 14170 12996 1.7 4 117 36 44 2500 103 175 67
"Honda" 0 15850 14531 1.7 4 115 32 38 2513 103 175 68
"Hyundai" 0 10539 10107 1.6 4 103 29 33 2255 96 167 66
"Hyundai" 0 11839 11116 1.6 4 103 29 33 2290 96 167 66
"Hyundai" 0 11939 11209 1.6 4 103 29 33 2339 96 167 66
"Hyundai" 0 13839 12781 2 4 138 26 34 2635 103 178 68
"Hyundai" 0 15389 14207 2 4 138 26 34 2635 103 178 68
"Hyundai" 0 15389 14207 2 4 138 26 34 2698 103 178 68
"Kia" 0 16040 14910 2.4 4 138 23 30 3281 106 186 72
"Kia" 0 10280 9875 1.6 4 104 26 33 2403 95 167 66
"Kia" 0 11155 10705 1.6 4 104 25 32 2458 95 167 66
"Kia" 0 12360 11630 1.8 4 124 24 32 2661 101 178 68
"Kia" 0 13580 12830 1.8 4 124 24 32 2686 101 178 68
"Kia" 0 14630 13790 1.8 4 124 24 32 2697 101 178 68
"Mini" 0 16999 15437 1.6 4 115 28 37 2524 97 143 67
"Nissan" 0 12740 12205 1.8 4 126 28 35 2513 100 178 67
"Nissan" 0 14740 13747 1.8 4 126 28 35 2581 100 178 67
"Pontiac" 0 15495 14375 2.2 4 140 24 33 2771 104 182 68
"Saturn" 0 10995 10319 2.2 4 140 26 35 2692 103 185 67
"Saturn" 0 14300 13393 2.2 4 140 26 35 2692 103 185 67
"Saturn" 0 15825 14811 2.2 4 140 26 35 2692 103 185 67
